,seq,len,freq,totalDelta,meanDelta
31,s1q_u5l_s1q_d2l,4.0,3.0,1.730933443723616,0.5769778145745387
32,s1q_s1l_s1q,3.0,13.0,1.292672887698326,0.646336443849163
33,u2q_d5l_s1q_s1l,4.0,3.0,1.779299294067707,0.5930997646892356
34,d2e_u2l_d3l_s1q_d2l,5.0,1.0,2.5727045812869678,0.6431761453217419
35,u2q_d5l_s1q_s1l_s1q,5.0,3.0,2.009843899944379,0.5024609749860948
36,s1q_s1l_s1q_s1l_s1q,5.0,8.0,1.8338184350708775,0.4584546087677194
37,d2l_s1e,2.0,1.0,0.7418952432986875,0.7418952432986875
38,s1l_s1q_s1l_s1e,4.0,2.0,1.5917310676616614,0.5305770225538872
39,s1e_s1q_u2q_d5l,4.0,3.0,2.1383690438356613,0.7127896812785538
40,s1q_u5l_s1q_d2l_u2l,5.0,1.0,2.347105604965771,0.5867764012414427
41,s1q_u5l_s1q_d2l_u2q,5.0,2.0,2.2512097380599796,0.5628024345149949
42,s1l_s1q_s1l_d2q_s1q,5.0,2.0,2.096600901811288,0.524150225452822
43,s1q_u2q_d5l,3.0,3.0,1.3734018808686919,0.6867009404343459
44,s1q_s1l_s1e_s1e_s1q,5.0,2.0,1.9659421814947604,0.4914855453736901
45,s1q_s1l_s1q_s1l_d2q,5.0,2.0,2.1143598744006584,0.5285899686001646
46,s1q_s1l,2.0,17.0,0.69120917250207,0.69120917250207
47,s1q_u5l_s1q,3.0,3.0,1.196547189616259,0.5982735948081295
48,s1e_s1q_u2q_d5l_s1q,5.0,3.0,2.657460295402112,0.664365073850528
49,s1q_s1l_d2q_s1q,4.0,2.0,1.736416796822338,0.5788055989407793
50,d2l_u2q_u2l_d3q_d2l,5.0,2.0,2.663618717790736,0.665904679447684
51,d3q_d2l_u2q_d3l_s1q,5.0,3.0,2.7715578589723875,0.6928894647430969
52,u2q_u2l,2.0,3.0,0.817267173706296,0.817267173706296
53,u5q_s1q,2.0,1.0,0.6919213755835386,0.6919213755835386
54,u2q_d3l_s1q_d2l,4.0,3.0,1.971271280194157,0.6570904267313856
55,d2l_d2q_d3l,3.0,4.0,1.6329675568549433,0.8164837784274717
56,s1e_s1e_s1q,3.0,3.0,1.2405082001910612,0.6202541000955306
57,u5l_s1q_d2l_u2l_u2l,5.0,1.0,2.576886727101899,0.6442216817754748
58,u2q_d3l_s1q_d2l_d2q,5.0,3.0,2.486933432088278,0.6217333580220695
59,d3q_d2e_u2l_d3l,4.0,1.0,2.176865663346848,0.7256218877822826
60,d3q_d2e,2.0,1.0,0.8810672125028767,0.8810672125028767
61,u2q_d3l_s1q,3.0,3.0,1.3945641020227895,0.6972820510113947
62,d2l_d2q_d3l_s1q_u5l,5.0,3.0,2.5843651719320677,0.6460912929830169
63,s1q_d2l_u2l,3.0,1.0,1.3515465430987352,0.6757732715493676
64,d2l_u2l_u2l_d3q,4.0,1.0,2.109721326630706,0.7032404422102353
65,u2l_d3q_d2e,3.0,1.0,1.5743140239797486,0.7871570119898743
66,s1q_d2l_s1e_s1e,4.0,1.0,1.748753706821995,0.5829179022739983
67,s1e_s1q,2.0,3.0,0.6607050534258617,0.6607050534258617
68,d2e_u2l_d3l,3.0,1.0,1.6439212488156656,0.8219606244078328
69,s1l_s1e_s1e_s1q_u2q,5.0,2.0,1.989103947296996,0.497275986824249
70,d2l_u2q,2.0,5.0,0.7753705569455901,0.7753705569455901
71,u5l_s1q_d2l,3.0,3.0,1.3577217073021337,0.6788608536510669
72,d2q_d3l,2.0,4.0,0.7173280895289454,0.7173280895289454
73,d2q_d3l_s1q,3.0,3.0,1.5536568306203073,0.7768284153101537
74,s1l_d2q,2.0,2.0,0.7509573142655427,0.7509573142655427
75,u5l_s1q_d2l_u2q,4.0,2.0,1.9231146826727876,0.6410382275575959
76,s1q_d2l_s1e_s1e_s1q,5.0,1.0,2.0087825577883374,0.5021956394470843
77,s1q_d2l_d2q_d3l,4.0,4.0,1.9715531915803417,0.6571843971934472
78,u2l_d3l,2.0,1.0,0.7121410105638107,0.7121410105638107
79,d3q_d2l_u2q,3.0,3.0,1.611122544228524,0.805561272114262
80,s1q_d2l_u2l_u2l_d3q,5.0,1.0,2.3861766317171282,0.5965441579292821
81,d3l_s1q,2.0,7.0,0.8210164993188633,0.8210164993188633
82,d2q_d3l_s1q_u5l_s1q,5.0,3.0,2.533926657373361,0.6334816643433403
83,u2q_u2l_d3q_d2l,4.0,3.0,1.8570712448777957,0.6190237482925985
84,s1l_d2q_s1q_s1l_s1q,5.0,2.0,1.7337140462735876,0.4334285115683969
